"","county_name","party","year","candidate","candidatevotes","totalvotes","percent"
"866","ITASCA","REPUBLICAN",2020,"DONALD J TRUMP",15239,26561,57.3735928617145
"867","ITAWAMBA","REPUBLICAN",2020,"DONALD J TRUMP",9438,10819,87.2354191699787
"868","IZARD","REPUBLICAN",2016,"DONALD TRUMP",4042,5448,74.1923641703377
"869","JACK","REPUBLICAN",2020,"DONALD J TRUMP",3418,3782,90.3754627181386
"870","JACKSON","REPUBLICAN",2016,"DONALD TRUMP",370529,626379,59.1541223444592
"871","JAMES CITY","REPUBLICAN",2004,"GEORGE W. BUSH",18949,31090,60.9488581537472
"872","JASPER","REPUBLICAN",2016,"DONALD TRUMP",83181,125240,66.4172788246567
"873","JAY","REPUBLICAN",2020,"DONALD J TRUMP",6361,8461,75.1802387424654
"874","JEFF DAVIS","REPUBLICAN",2016,"DONALD TRUMP",4799,6287,76.3321138857961
"875","JEFFERSON","REPUBLICAN",2004,"GEORGE W. BUSH",840847,1595502,52.7010934489584
"876","JEFFERSON DAVIS","REPUBLICAN",2020,"DONALD J TRUMP",13957,21054,66.2914410563313
"877","JENKINS","REPUBLICAN",2016,"DONALD TRUMP",1895,3056,62.0091623036649
"878","JENNINGS","REPUBLICAN",2020,"DONALD J TRUMP",9490,12251,77.4630642396539
"879","JERAULD","REPUBLICAN",2020,"DONALD J TRUMP",721,1006,71.6699801192843
"880","JEROME","REPUBLICAN",2004,"GEORGE W. BUSH",5177,6580,78.677811550152
"881","JERSEY","REPUBLICAN",2020,"DONALD J TRUMP",8712,11937,72.9831615983916
"882","JESSAMINE","REPUBLICAN",2004,"GEORGE W. BUSH",12972,18580,69.8170075349839
"883","JEWELL","REPUBLICAN",2020,"DONALD J TRUMP",1387,1628,85.1965601965602
"884","JIM HOGG","DEMOCRAT",2012,"BARACK OBAMA",1301,1667,78.0443911217756
"885","JIM WELLS","DEMOCRAT",2000,"AL GORE",7418,12023,61.6984113781918
"886","JO DAVIESS","REPUBLICAN",2020,"DONALD J TRUMP",7166,12496,57.3463508322663
"887","JOHNSON","REPUBLICAN",2004,"GEORGE W. BUSH",291518,482600,60.4057190219644
"888","JOHNSTON","REPUBLICAN",2004,"GEORGE W. BUSH",39538,58705,67.350310876416
"889","JONES","REPUBLICAN",2016,"DONALD TRUMP",42401,62689,67.637065513886
"890","JOSEPHINE","REPUBLICAN",2004,"GEORGE W. BUSH",26241,42275,62.0721466587818
"891","JUAB","REPUBLICAN",2012,"MITT ROMNEY",3448,3972,86.8076535750252
